company,year,"Net Profit Margin",net_income
AAPL,2009,19.19,8235
AAPL,2010,21.48,14013
AAPL,2011,23.95,25922
AAPL,2012,26.67,41733
AAPL,2013,21.67,37037
AAPL,2014,21.61,39510
AAPL,2015,22.85,53394
AAPL,2016,21.19,45687
AAPL,2017,21.09,48351
AAPL,2018,22.41,59531
AAPL,2019,21.24,55256
AAPL,2020,20.91,57411
AAPL,2021,25.88,94680
AAPL,2022,25.31,99803
GOOG,2009,27.57,6520
GOOG,2010,29.01,8505
GOOG,2011,25.69,9737
GOOG,2012,23.32,10737
GOOG,2013,22.93,12733
GOOG,2014,21.42,14136
GOOG,2015,21.1,15826
GOOG,2016,21.58,19478
GOOG,2017,11.42,12662
GOOG,2018,22.46,30736
GOOG,2019,21.22,34343
GOOG,2020,22.06,40269
GOOG,2021,29.51,76033
GOOG,2022,21.2,59972
MSFT,2009,24.93,14569
MSFT,2010,30.02,18760
MSFT,2011,33.1,23150
MSFT,2012,23.03,16978
MSFT,2013,28.08,21863
MSFT,2014,25.42,22074
MSFT,2015,13.03,12193
MSFT,2016,22.53,20539
MSFT,2017,26.39,25489
MSFT,2018,15.02,16571
MSFT,2019,31.18,39240
MSFT,2020,30.96,44281
MSFT,2021,36.45,61271
MSFT,2022,36.69,72738
MSFT,2023,34.15,72361
